price,quantity,order_month,order_day,order_hour,shipping_delay_days,Cluster,Segment_Label
45.95,4,4,20,14,7,8,Heavy Bulk Buyers
403.17,3,4,20,14,2,6,High-Value Fast Delivery Customers
317.45,2,4,20,14,7,0,High-Value Customers (Delayed Shipping)
24.08,3,4,20,14,4,4,Mid-Value Fast Delivery Customers
494.9,1,4,20,14,5,0,High-Value Customers (Delayed Shipping)
342.0,1,4,20,14,5,0,High-Value Customers (Delayed Shipping)
281.92,3,4,20,14,3,4,Mid-Value Fast Delivery Customers
195.5,1,4,20,14,6,0,High-Value Customers (Delayed Shipping)
445.83,1,4,20,14,1,6,High-Value Fast Delivery Customers
317.72,2,4,20,14,5,0,High-Value Customers (Delayed Shipping)
480.1,1,4,20,14,6,0,High-Value Customers (Delayed Shipping)
64.06,1,4,20,14,1,4,Mid-Value Fast Delivery Customers
66.44,1,4,20,14,1,4,Mid-Value Fast Delivery Customers
362.51,2,4,20,14,3,6,High-Value Fast Delivery Customers
182.64,2,4,20,14,5,0,High-Value Customers (Delayed Shipping)
373.68,2,4,20,14,5,0,High-Value Customers (Delayed Shipping)
128.86,1,4,20,14,5,4,Mid-Value Fast Delivery Customers
102.07,1,4,20,14,1,4,Mid-Value Fast Delivery Customers
39.39,3,4,20,14,5,1,Low-Value Occasional Buyers
128.22,3,4,20,14,2,4,Mid-Value Fast Delivery Customers
466.85,1,4,20,14,4,0,High-Value Customers (Delayed Shipping)
480.29,2,4,20,14,4,0,High-Value Customers (Delayed Shipping)
73.14,1,4,20,14,5,4,Mid-Value Fast Delivery Customers
166.13,2,4,20,14,6,1,Low-Value Occasional Buyers
21.68,2,4,20,14,5,1,Low-Value Occasional Buyers
43.27,1,4,20,14,7,1,Low-Value Occasional Buyers
27.96,3,4,20,14,6,1,Low-Value Occasional Buyers
49.22,2,4,20,14,2,4,Mid-Value Fast Delivery Customers
69.72,4,4,20,14,2,8,Heavy Bulk Buyers
191.53,5,4,21,14,2,8,Heavy Bulk Buyers
79.03,6,4,21,14,6,8,Heavy Bulk Buyers
339.78,1,4,21,14,5,0,High-Value Customers (Delayed Shipping)
179.93,2,4,21,14,5,0,High-Value Customers (Delayed Shipping)
